id,hip,bayer,flam,con,proper,ra,dec,mag,full_letter,const_genitive,greek_ascii,x,y,z,tfl,th01,th021,th12,th023,th03,th23,l01,l02,l12,l02,l03,l23
584955,32349,Alp,9,CMa,Sirius,6.7525694,-16.71314306,-1.44,Alpha,Canis_Majoris,α ,-0.18748086428976932,0.9392276287653456,-0.28758022687414947,7.405657015454514,0.6966914733893902,1.1117368262784106,1.3331643539219928,1.2209196147983428,1.4950421860841145,0.4256308527073356,1.0,1.3970585239002309,1.514606323754236,1.3970585239002309,1.4828928919810926,0.6140407519187235
531292,30438,Alp,,Car,Canopus,6.39919184,-52.69571799,-0.62,Alpha,Carinae,α ,-0.06322172622122829,0.6027412445735582,-0.7954281899854482,8.123513288541838,0.9636448550025043,1.3469747862570032,0.8309730123302861,0.6215186133732844,1.1296668890434505,1.390407151173058,1.0,1.1872448912102342,0.8993166937985905,1.1872448912102342,1.8437994613386468,2.0059073509841316
1417320,69673,Alp,16,Boo,Arcturus,14.26120767,19.18727298,-0.05,Alpha,Boötis,α ,-0.7837380185377444,-0.5270098508122137,0.3286568658120784,48.9253394107828,0.1123339190401706,1.7633357807552545,1.2659229537943681,0.8177546601594122,1.057894804131096,1.2659431892992852,1.0,8.755937749727606,8.509398589478677,8.755937749727606,10.45659918686416,11.447466134984747
1451193,71683,Alp-1,,Cen,Rigil Kentaurus,14.66136069,-60.83514707,-0.01,Alpha,Centauri,α ,-0.37374668034987973,-0.3127270161212856,-0.8732211817834712,2159.2886949159783,0.0014972375801968836,0.6308701436978784,2.509225272311662,0.7619026072594427,0.7890401191082389,1.5906499272221117,1.0,393.95742066629657,394.76449365707083,393.95742066629657,405.016582376577,570.5927775497373
1892152,91262,Alp,3,Lyr,Vega,18.61560722,38.78299311,0.03,Alpha,Lyrae,α ,0.12508927135147205,-0.7694220043553947,0.6263724558172117,5.468575932175009,1.1670497604753653,1.9425061705433682,0.032036722571062576,0.8665579282189629,1.06830337029738,1.20673135507345,1.0,1.0131711443369045,0.03483188086964817,1.0131711443369045,1.1650990142319197,1.242302748399632
392532,24608,Alp,13,Aur,Capella,5.27813768,45.99902927,0.08,Alpha,Aurigae,α ,0.1305009572760597,0.6823024871144546,0.7193280310313658,13.326400930093142,0.2133567498331168,0.5055291761794701,2.422706727577206,1.027637359236075,1.1260931674446675,0.9878621269090507,1.0,2.2870810914953266,3.110141365622089,2.2870810914953266,2.4117317208864395,2.230365660593959
388910,24436,Bet,19,Ori,Rigel,5.24229757,-8.20163919,0.18,Beta,Orionis,β ,0.1950520906134032,0.9703626079210355,-0.14265725041520902,8.26218297691554,0.31930343805970585,0.3452582553338499,2.4770309601962373,0.3758790873275676,0.38766747294365766,2.3780460933185674,1.0,1.0781586738176412,1.9646504721666656,1.0781586738176412,1.1102887687237708,2.0309263883898225
749263,37279,Alp,10,CMi,Procyon,7.65514946,5.22750767,0.4,Alpha,Canis_Minoris,α ,-0.41813725550793807,0.9038031185674541,0.09111069324746583,11.810590356047499,0.16777115146116314,0.310392809706404,2.663428692422226,0.8370661967467975,1.3674040656793198,0.9371223911636757,1.0,1.829100290048007,2.75563229158383,1.829100290048007,2.412065648795852,1.9846918355718013
122757,7588,Alp,,Eri,Achernar,1.62854214,-57.23666007,0.45,Alpha,Eridani,α ,0.4927250978244856,0.2238017906273153,-0.8409130374098492,8.613932707802872,1.5440560415977593,1.5972074019256999,0.0003292100668193717,0.031073630060964173,3.0387319266080324,0.07178709692079513,1.0,1.0000087510800864,0.0003293277951146781,1.0000087510800864,3.3049522672786815,2.308633610568904
463434,27989,Alp,58,Ori,Betelgeuse,5.91952477,7.40703634,0.45,Alpha,Orionis,α ,0.0208910119681161,0.9914352599823728,0.1289173800642602,7.122082799111326,0.45187903031433146,0.47817934179683413,2.211534281478628,0.8711547785137131,1.6462569176585706,0.6241809574175091,1.0,1.0538335083448769,1.8358925362364513,1.0538335083448769,1.3735087086094688,0.8050145375756527
1400378,68702,Bet,,Cen,Hadar,14.0637346,-60.3729784,0.61,Beta,Centauri,β ,-0.42393758312627944,-0.2542846950616443,-0.8692618819840517,9.107263921747485,0.7427013806030787,1.2974259850114565,1.1014652879752587,0.5476449885153655,0.5719666649265688,2.0219810001478598,1.0,1.4237682220879342,1.3187889811051972,1.4237682220879342,1.4801215880128231,2.460816908453596
2089783,97649,Alp,53,Aql,Altair,19.84630057,8.86738491,0.76,Alpha,Aquilae,α ,0.4592023007316135,-0.8748552160354274,0.15414797429223187,11.635471033009486,0.426833319441535,0.742606605686243,1.9721527284620148,0.34837689696568247,0.40329161735586694,2.389924139268244,1.0,1.6333969516086766,2.223559128005516,1.6333969516086766,1.8777818453585249,3.2673361564280916
1269694,60718,Alp-1,,Cru,Acrux,12.44331706,-63.09905586,0.77,Alpha,Crucis,α ,-0.4494055870390557,-0.052393530747965184,-0.8917900741059208,201.4121638395796,0.03402958370956988,1.7536454386527338,1.3539176312274908,0.47152670486819914,0.933802885096537,1.736263063625057,1.0,28.901894415450656,28.70332972806069,28.901894415450656,51.14811907501314,62.756926205604444
333847,21421,Alp,87,Tau,Aldebaran,4.5986668,16.50976164,0.87,Alpha,Tauri,α ,0.34390530972650324,0.8949701704066532,0.2841786973441256,5.827556782512301,0.22947834647310605,2.8193093330151178,0.09280497410157197,1.070390647015539,1.9641765878293567,0.10702541874489739,1.0,1.3924198260540779,0.40740311384870487,1.3924198260540779,1.465788128238596,0.16952588831684337
